sku,prod,brand,rev90,n_ten,n_ord,fonte,erp_stock,supplier_stock,pos,costo,prezzo,comp_min,n_comp,floor_price,target_price,ricarico_target_pct,verdetto,cut_needed
984515458,HYALUBRIX SIR 30MG 2ML N/E,HYX,1637.33,6,17,grossista,0,100,,44.59,53.51,30.84,30,49.94,30.83,-30.9,NON_POSIZIONABILE,0
973472943,MICROLIFE AFIB ADVANCED EASY,MCL,1636.24,3,23,MAGAZZINO,6,7,,79.37,87.13,81.33,26,88.90,81.32,2.5,NON_POSIZIONABILE,0
942820515,BARIATRIFAST 30CPR,"",1621.09,5,39,MAGAZZINO,1,448,,18.36,21.48,21.86,46,20.93,21.85,19.0,STANDALONE,0
930327008,ONLIGOL MACROGOL 4000 20BUST,OG1,1613.48,10,84,MAGAZZINO,37,1567,,8.25,9.41,11.66,82,9.74,11.65,41.2,STANDALONE,0
950965071,FLEBONORM H 40CPR,"",1610.00,4,39,MAGAZZINO,1,193,,18.07,0.00,24.03,30,20.60,24.02,32.9,REINSERISCI_prezzo_fb,0
931809952,AMEDIAL PLUS 20BUST,AMD,1606.25,8,44,MAGAZZINO,1,3584,,15.66,19.03,19.49,60,17.86,19.48,24.4,STANDALONE,0
974159446,COLILEN IBS 60OPR,ABO,1605.05,4,60,MAGAZZINO,1,824,,20.72,25.18,20.99,68,23.63,20.98,1.3,NON_POSIZIONABILE,0
978476380,COBAXIL B12 5000MCG 5CPR SUNBL,HLL,1594.07,6,35,grossista,0,755,6,23.19,27.21,24.43,40,26.44,24.42,5.3,NON_POSIZIONABILE,0
943285635,RIBES PET SOLLIEVO 60PRL,NBF,1585.62,7,38,grossista,0,527,9,23.22,26.94,29.02,51,26.47,29.01,24.9,STANDALONE,0
950220956,FLAVIA ACT 30CPR,"",1573.29,4,30,grossista,0,108,,24.33,0.00,30.61,28,27.74,30.60,25.8,REINSERISCI_prezzo_fb,0
