Pager usage is off.
Output format is csv.
sku,prod,stk,ss,val,pos,clk,cost30,vende_rete,prot_stock,categoria
943322685,CONNECTASYL 60CPR,0,1464,29.56,6,7,1.95,t,f,HELD_rete_pos
974036713,PUFATECH 100PRL,0,20,32.22,8,7,1.95,t,f,HELD_rete_pos
951882760,KELUAL DS INTENSIVE SPRAY100ML,12,36,14.14,4,7,1.95,f,f,MAGAZZINO_netto
900589286,OTOVENT 5PALLONCINI+1CANNULA,0,627,16.41,3,7,1.95,t,f,HELD_rete_pos
987358759,KIJIMEA REGULARIS 500G,0,19,30.92,5,7,1.95,t,f,HELD_rete_pos
924587239,MAGNESIO C/VITAMINE B 30CPR,0,147,6.04,12,7,1.95,t,f,GROSSISTA_netto
048922013,ZEFLAVON*30CPR RIV 500MG,12,35,6.10,5,7,1.95,f,f,HELD_basket
976337927,ALGONERV CREMA 75ML,0,582,13.66,2,7,1.95,t,f,HELD_basket
940083470,BROMELINA PLUS 500 60CPS,0,167,13.64,6,7,1.95,t,f,HELD_rete_pos
981516331,VAGISIL GEL LUBRIFICANTE 30G,2,761,9.81,5,7,1.95,t,f,HELD_basket
987386099,ANTHELIOS LATTE UVMUNE BB250ML,17,196,15.15,7,7,1.95,t,f,HELD_rete_pos
989825346,BAKEL ENZY PEEL 40G,2,0,31.20,,7,1.95,f,f,HELD_basket
941079042,ARTIKRILL DOL CANE 60PRL,0,1141,24.42,10,7,1.95,t,f,HELD_rete_pos
940000399,DEFLUX 20STICK MONODOSE 10ML,0,159,18.86,9,7,1.95,t,f,HELD_basket
935589111,POLIDENT FREE 70G,14,1253,6.89,3,7,1.95,t,f,HELD_rete_pos
941166757,VENAFLUX VITI 30CPR,0,210,8.14,10,6,1.67,t,f,HELD_basket
975984535,CONDRONIL FORTE 20BUST,0,373,24.49,10,6,1.67,t,f,HELD_basket
989816412,VESVEIN GAMBE SOLLIEVO 30CPR,10,361,11.99,10,6,1.67,t,f,HELD_rete_pos
971170600,HYDRABIO CREME 50ML,0,98,18.71,3,6,1.67,f,f,GROSSISTA_netto
950221818,KUKIDENT PLUS MORSO INSUPERAB,95,3628,9.24,7,6,1.67,t,f,HELD_basket
940431012,VITA B7 50CPS VEGETALI,0,172,12.96,6,6,1.67,t,f,HELD_rete_pos
027910013,FEXALLEGRA NASALE*SPRAY FL10ML,20,333,7.94,7,6,1.67,f,f,HELD_basket
984098689,REV DEOMED PLUS CREMA 80ML,0,151,10.86,2,6,1.67,t,f,HELD_basket
982172619,RILASTIL ELASTICIZZANTE CR E/I,0,116,19.77,10,6,1.67,f,f,HELD_basket
