minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
952125920;GLIALIA 700MG+70MG 30BUST;4;0;28.06;30.39;8.3;AMMUTOLITO;2;SI
934503665;LUBRIGYN DETERGENTE 200ML PROM;4;0;5.10;8.15;59.7;AMMUTOLITO;26;SI
972784678;XEROGEN COMBI PLUS 30CPR;4;1;20.82;22.99;10.4;DIMEZZATO;2;SI
974058152;RIVESCAL DS SHAMPOO CANOVA;4;0;12.43;18.34;47.5;AMMUTOLITO;24;SI
976336952;OMEGOR VITALITY 1000 90CPS;4;0;23.86;27.59;15.6;AMMUTOLITO;11;SI
935253613;IALUTEC RED 50ML;4;0;24.26;27.05;11.5;AMMUTOLITO;1;SI
935501371;VEA INTIMO TT CR IGIENE INTIMA;4;1;9.31;11.23;20.7;DIMEZZATO;2;SI
926115054;NUTRIDRINK CIOCCOLATO 4X200ML;4;0;9.36;11.05;18.1;AMMUTOLITO;;SI
980446102;FLAVIA LUNA 30CPS MOLLI;4;1;23.55;25.74;9.3;DIMEZZATO;1;SI
980635142;KELUAL DS SHAMPOO FORFORA SEV;4;1;9.72;12.46;28.3;DIMEZZATO;10;SI
926571466;WELLION LUNA 25 STRIPS;4;1;5.33;6.50;22.0;DIMEZZATO;3;SI
982461182;ESTORIAL 20STICK 15ML;4;0;16.84;18.37;9.1;AMMUTOLITO;1;SI
944898143;CETILAR PATCH CEROTTO 5PZ;4;0;10.96;13.79;25.9;AMMUTOLITO;1;SI
903204941;RELAXCOL 36CPS;4;0;14.81;16.24;9.7;AMMUTOLITO;7;SI
904266210;PROFLUSS 15CPS;4;1;16.46;19.02;15.6;DIMEZZATO;14;SI
988925475;YOVIS CAPS 20CPS;4;1;16.41;17.40;6.1;DIMEZZATO;19;SI
045625047;VOLTAREN EMULGEL*GEL 100G 2%;4;0;13.13;15.16;15.5;AMMUTOLITO;2;SI
943942452;TANNIDIN PLUS 30CPR MAST;3;0;24.11;27.58;14.4;AMMUTOLITO;8;SI
944912423;SODIORAL INULINA 8BUST;3;0;6.59;7.37;11.8;AMMUTOLITO;4;SI
945030815;MAGNESIO POTASSIO ZERO 24BUST;3;0;6.29;6.59;4.8;AMMUTOLITO;2;SI
947096626;REUTERAL PET GATTO GOCCE 10ML;3;0;11.89;16.16;35.9;AMMUTOLITO;20;SI
947418238;MAXI COENZIMA Q10 30PRL;3;0;29.53;36.39;23.2;AMMUTOLITO;7;SI
947493843;STICK LABBRA BURRO CACAO LZ4;3;0;2.34;2.89;23.3;AMMUTOLITO;;SI
949503229;ASTROCIT PEA 10STICK PACK;3;1;23.36;25.75;10.2;DIMEZZATO;2;SI
950453997;CITICOOS 1000 15FL;3;1;28.84;31.21;8.2;DIMEZZATO;1;SI
950497952;TRICOVEL MIRNA EXOSOMES GEL4TU;3;1;54.79;66.68;21.7;DIMEZZATO;2;SI
951135781;MAGNESIO BISGLICINATO 180PAST;3;0;31.24;34.56;10.6;AMMUTOLITO;5;SI
971116951;SYNAPSINE 10FL 10ML;3;0;20.28;21.26;4.8;AMMUTOLITO;5;SI
971277874;MARIAL 20 ORAL STICK 15ML;3;0;17.49;19.25;10.1;AMMUTOLITO;20;SI
974109338;CERAVE CREMA IDRATANTE 454G;3;0;14.09;17.47;24.0;AMMUTOLITO;29;SI
974402772;ANDROPROX 700 15PRL SOFTGEL;3;0;15.52;17.01;9.6;AMMUTOLITO;4;SI
977219462;RESTAX DONNA 30CPS;3;0;22.18;25.27;13.9;AMMUTOLITO;1;SI
979043104;EUFORTYN COLESTEROLO PLUS30CPR;3;0;15.83;17.90;13.1;AMMUTOLITO;6;SI
979407032;MICETRIN ON 15BUST;3;0;36.91;40.48;9.7;AMMUTOLITO;1;SI
979683808;NEVRI 1100 20BUST;3;0;18.29;21.06;15.1;AMMUTOLITO;8;SI
981647023;SNS TED 30BUST;3;1;15.32;17.91;16.9;DIMEZZATO;10;SI
982489433;RESTAX DONNA PLUS 30CPS;3;0;22.88;25.03;9.4;AMMUTOLITO;5;SI
982526687;RESTAX EFFLUVIUM 30CPR;3;0;21.55;24.87;15.4;AMMUTOLITO;2;SI
