minsan,prodotto,n_tenant,n_click,costo_click,vendite_rete_90gg
988050593,"TAZARENE CREMA 0,05% 75ML",3,3,0.99,1
988804389,INTRAVIT FORTE 30CPR,3,3,0.99,10
988927721,MIOFENAC 14BUST,3,3,0.99,11
988994190,SOLOUNO DRENAGEL 125ML,3,3,0.99,1
989021011,"JONEXA UP 2% SIR 4,4ML",3,3,0.99,1
989042383,KELASTIC CREMA CICATRICI 30ML,3,3,0.99,2
989046762,MASTOCOL 30CPR,3,3,0.99,1
989260892,KELUAL SQUANORM LOZIONE 200ML,3,3,0.99,1
989400888,GINGEMYR 24GUMM,3,3,0.99,1
983304369,MICRONIL ACT 30BUST,3,3,0.99,0
936008349,GELX SPRAY ORAL 100ML,3,3,0.99,0
978867909,LIMBICA 14BUST,3,3,0.99,0
951337866,MIOAPP 20BUST,3,3,0.99,0
923211674,B-APPORT PLUS FLUIDO 200ML,3,3,0.99,0
939393171,PODIDRAL FAS CR RAGADI PIED100,3,3,0.99,0
987025703,PIC SOFT WASH SCHIZZETTO 35ML,3,3,0.99,0
977631706,NUTRIFREE FETTE BISC INT 225G,3,3,0.99,0
982179210,FLEBOWIN 30CPR,3,3,0.99,0
905954362,GIBAUD ORTHO BRACC ELBOWGIB 3,3,3,0.99,0
926252139,MANOPOLA IMPERM NON SAP 100PZ,3,3,0.99,0
950978938,TRAMEXAL DECO' 30ML BRADERM,3,3,0.99,0
912650342,TRIDERM LENIL+ 50ML,3,3,0.99,0
933783944,COLIPEX CR 30X2ML,3,3,0.99,0
951313030,MINERALVIS 150PAST,3,3,0.99,0
986012134,TUAMEMOR 15FL 10ML,3,3,0.99,0
977709979,PINUS MONTANA BOIRON MG 60ML,3,3,0.99,0
923587428,LOXICOR 30CPR,3,3,0.99,0
931988428,MEDS PORE MEDIC 10X15CM 5PZ,3,3,0.99,0
982452373,HONOS VENUM 30CPR,3,3,0.99,0
983513755,KUKIDENT PLUS BARRI A/CIBO 40G,3,3,0.99,0
970406613,POLICALM SHOWER GEL 300ML CE,3,3,0.99,0
939471544,BIOXTRA LIQUID SPRAY 50ML,3,3,0.99,0
932217072,STEVIA EDULCOR 200CPR,3,3,0.99,0
984789166,PHYTOCYANE FIALE D CAD TEMPOR,3,3,0.99,0
950965297,ZINCO RAME OLIMENTOVIS 200ML,3,3,0.99,0
938501715,PATCHOULY PROFUMO 50ML,3,3,0.99,0
924298021,MIRTILLO RO LIQ ANALCO GEMM10+,3,3,0.99,0
932201320,ARIFER GOCCE 30ML,3,3,0.99,0
943324487,COLLAGENDEP PINK BEAUTY20STICK,3,3,0.99,0
986709778,TENA LIGHTS SENS NORMAL 16PZ,3,3,0.99,0
938910243,HENNE COLOR CAP RO NAT EX FT,3,3,0.99,0
909390104,SEBAMED DET LIQ 1000ML,3,3,0.99,0
988142030,RINOWAY PLUS SALI ISOTON15BUST,3,3,0.99,0
921189243,OXILIFE 30CPS,3,3,0.99,0
975734132,RILASTIL XEROLACT GEL DET400ML,3,3,0.99,0
951193299,LONGLIFE NADH MAX 60CPR RIVEST,3,3,0.99,0
924874579,ACTINICA LOTION 80ML,3,3,0.99,0
981256389,RECUPERO EXTR 400G ETICHSPORT,3,3,0.99,0
983280342,CORTIDOL 20CPS,3,3,0.99,0
924931746,SENSURA MIO SAC P 10-55MM 30P,3,3,0.99,0
982465344,NORICA PROTEZIONE COMPLET300ML,3,3,0.99,0
900531118,MUTANDA ERNIA C/CUSC 5,3,3,0.99,0
975201361,MULTIVITALEX 30CPR,3,3,0.99,0
940225004,MONODERMA ET10 XL LIPOGEL30ML,3,3,0.99,0
932720903,ENVISUN SPF50 100ML,3,3,0.99,0
980247112,LECIVIS 100G 80SOFTGEL,3,3,0.99,0
