sku,nome,click7,pos,stock,domanda_glob,vend_rete_30g,rete_90g,categoria_traffico
927130031,JOBST FOR MEN 15-20 BLU 4,3,1,5,0.00,0,no,GIA_POSIZIONATO_top5
985778556,CERAMOL IAGE CONC POWER SERUM,3,1,4,0.00,0,si,GIA_POSIZIONATO_top5
986699573,MULTICENTRUM NEO MAMMA DHA,3,4,7,4.00,5.00,si,DOMANDA_VIVA
905954350,GIBAUD ORTHO BRACC ELBOWGIB 2,3,1,2,0.00,0,si,GIA_POSIZIONATO_top5
975082847,GIBAUD SPORT CAVIGLIERA 3,3,6,1,0.00,0,si,MAGAZZINO_domanda90g
985725946,PROBIOS KETO BREAD S/GLUT 200G,3,99,0,0.00,0,no,MORTO_vero
987403805,PARANIX SHAMPOO TRATT TP 200ML,3,10,0,0.00,3.00,si,DOMANDA_VIVA
951043494,HYALU B5 CREMA RICARICA 50ML,3,10,3,2.00,0,si,DOMANDA_VIVA
975020583,AVENE DERMABSOLU CONT OCCHI,3,4,0,0.00,2.00,si,DOMANDA_VIVA
978473155,LFP OMEGA3 30CPS,3,1,10,0.00,0,no,GIA_POSIZIONATO_top5
985824085,EUCERIN HYAL FILL BOOSTER NTT,3,4,3,0.00,0,si,GIA_POSIZIONATO_top5
970357036,AZULENE GTT OCULARI 10ML,3,13,0,0.00,0,si,MORTO_vero
927234498,ATOGYN DISP IGIEN VAG 125ML2PZ,3,8,0,0.00,7.00,si,DOMANDA_VIVA
901156758,ALKAGIN POLVERE INTIMA 100G,3,5,0,0.00,2.00,si,DOMANDA_VIVA
938457823,BD MICROFINE AGO PENTA G32 4MM,3,7,0,0.00,8.00,si,DOMANDA_VIVA
975054735,EUCERIN AQUAPHOR TRATT RIPA,3,5,3,0.00,0,si,GIA_POSIZIONATO_top5
985778618,CERAMOL IAGE NIGHT TREATMENT,3,2,6,0.00,0,si,GIA_POSIZIONATO_top5
974646135,PIACERI MEDIT PIADINA WRAP180G,3,1,0,0.00,0,no,GIA_POSIZIONATO_top5
985549587,BAKEL F-DESIGNER DRY CASE&REFI,3,1,3,0.00,0,no,GIA_POSIZIONATO_top5
983665466,EUCERIN ANTI-PIGMENT GG MEDIUM,3,1,12,0.00,0,si,GIA_POSIZIONATO_top5
988032708,TOLERIANE KERIUM DS CONC 40ML,3,9,17,1.00,0,si,DOMANDA_VIVA
940098623,MYCLI LIFTABLE EXOSERUM 30ML,3,2,6,0.00,0,no,GIA_POSIZIONATO_top5
944742004,MULTIVITAMIX VITAMINA D2000 UI,3,2,7,0.00,5.00,si,DOMANDA_VIVA
974772319,ADOLFAST 20CPR MASTIC BLISTER,3,4,0,0.00,9.00,si,DOMANDA_VIVA
947423707,LONGLIFE BERBERIN+ 60TAV RIVES,3,8,0,0.00,4.00,si,DOMANDA_VIVA
979097538,HYALO GYN GEL 10APPL MONODOSE,3,9,8,10.00,17.00,si,DOMANDA_VIVA
986395958,CERAMOL PSOR LOZIONE 50ML,3,4,6,0.00,0,si,GIA_POSIZIONATO_top5
900531118,MUTANDA ERNIA C/CUSC 5,3,8,0,0.00,1.00,si,DOMANDA_VIVA
989332857,AVENE SOL SPRAY SPF 30 200ML,3,8,9,5.00,5.00,si,DOMANDA_VIVA
987881669,CERAMOL SPOT BLOCK XL 50ML,3,3,5,0.00,2.00,si,DOMANDA_VIVA
008997064,DULCOLAX*40CPR RIV 5MG,3,10,100,74.00,65.00,si,DOMANDA_VIVA
980512750,CERAMOL LIPOCREMA 311 50ML,3,9,7,0.00,0,si,MAGAZZINO_domanda90g
981079864,BIOARGININA C ORALE 20FL,3,5,25,29.00,7.00,si,DOMANDA_VIVA
930057005,GIBAUD ORTHO CAVIGL AIRFORM,3,2,1,0.00,0,si,GIA_POSIZIONATO_top5
023227061,"EMORRIL*CREMA 40G 1%+1,5%",3,6,21,8.00,3.00,si,DOMANDA_VIVA
936018237,ENTEROGERMINA GONFIORE 20BUST,3,6,6,12.00,15.00,si,DOMANDA_VIVA
973603006,TIGERPET SPRAY 300ML,3,8,0,0.00,1.00,si,DOMANDA_VIVA
933012926,HJDRATA FILLER SUPERIDRATANTE,3,99,0,0.00,0,no,MORTO_vero
925599971,"MERIDOL CLOREX0,2% COLLUT300ML",3,1,11,4.00,1.00,si,DOMANDA_VIVA
934408663,BIOTHYMUS AC ACT D SH VOL200ML,3,4,4,0.00,2.00,si,DOMANDA_VIVA
972256642,CALCIOK2 30STICK PACK,3,9,0,0.00,18.00,si,DOMANDA_VIVA
908188903,GIBAUD CAVIGL INCROC TAGLIA 4,3,5,0,0.00,0,no,GIA_POSIZIONATO_top5
926461839,MTS10 GANODERMA GTT 20ML,3,7,0,0.00,0,si,MORTO_vero
976203950,FRUTTA & FIBRE CLASSICO 30CPR,3,9,0,0.00,2.00,si,DOMANDA_VIVA
905508723,GIBAUD ORTHO REGGIBRACCIO NE 2,3,1,2,0.00,0,no,GIA_POSIZIONATO_top5
921232450,PESCURA FLAT ORIG BYCAST SAB43,3,7,0,0.00,2.00,si,DOMANDA_VIVA
907152882,VASODREN 30CPR FILMATE,3,11,0,0.00,20.00,si,DOMANDA_VIVA
987336450,GIBAUD GINOCCH COT SOT BEI 2,3,4,0,0.00,1.00,si,DOMANDA_VIVA
982893238,EXTRA GENTLE DERMOPROT SH200ML,3,13,0,0.00,1.00,si,DOMANDA_VIVA
924531116,DEODORANTE BELLEZZA ROLL-ON,3,3,14,1.00,1.00,si,DOMANDA_VIVA
977657927,LFP VIT-C 1000 20CPR EFFERV,3,1,9,0.00,0,no,GIA_POSIZIONATO_top5
984876641,DOLOMIA MU LIP 32 PHYTOCARE,3,4,4,0.00,0,si,GIA_POSIZIONATO_top5
987743919,EKEEP B3 SURGICAL BRA POST BI3,3,2,1,0.00,0,no,GIA_POSIZIONATO_top5
926404118,GIBAUD ORTHO JUNIOR REGGIBRACC,3,2,1,0.00,0,no,GIA_POSIZIONATO_top5
983361724,GIBAUD ORTHO MANUGIB QUER SX 1,3,5,3,0.00,0,no,GIA_POSIZIONATO_top5
988785566,DOLOMIA SC LX ROLL ON OCC 15ML,3,1,3,0.00,0,no,GIA_POSIZIONATO_top5
948006541,SIBEN FLU 14BUST,3,1,8,0.00,0,si,GIA_POSIZIONATO_top5
987656749,PIC AGO IPODERMICO G23 1 1/4,3,1,6,0.00,0,no,GIA_POSIZIONATO_top5
984622670,LFP CREMA TALLONI 75ML,3,3,9,0.00,0,no,GIA_POSIZIONATO_top5
980644254,MARKEUTICALS FOCAL A/DHT 45CPR,3,10,0,0.00,12.00,si,DOMANDA_VIVA
974367029,LIPOTECH 800 20CPR,2,12,0,0.00,5.00,si,DOMANDA_VIVA
935572988,LICHTENA CREMA COMPL OCTA 25ML,2,11,0,0.00,4.00,si,DOMANDA_VIVA
931656805,TAE X ROSE CREMA 60ML,2,12,0,0.00,5.00,si,DOMANDA_VIVA
986956629,PHYTO COL BARRIERA 20CPR,2,6,0,0.00,0,si,MORTO_vero
913228072,CLEARBLUE RILEVAZIONE RAPIDA1P,2,9,15,1.00,0,si,DOMANDA_VIVA
022632107,NEOBOROCILLINA*20PAST S/Z,2,7,34,1.00,7.00,si,DOMANDA_VIVA
985581127,LFP PEAWELL TASK 12STICK,2,4,28,0.00,0,si,GIA_POSIZIONATO_top5
972472854,DUALCOL FERMENTI 10CPS,2,9,0,0.00,4.00,si,DOMANDA_VIVA
973916909,ARNICA BIANCARDI GEL EXF 200ML,2,99,0,0.00,0,si,MORTO_vero
988142927,EKEEP G3 SHORT FULL FOAM TUT,2,5,6,0.00,1.00,si,DOMANDA_VIVA
981545294,CH MAMMY GUAINA GRAVIDANZA 6,2,6,0,0.00,0,no,MORTO_vero
944292527,MAGNESIO POTASSIO S/ZUCCH60CPR,2,4,4,62.00,37.00,si,DOMANDA_VIVA
934857867,LACRIMALFA SOL OFTALMICA 10ML,2,6,0,0.00,3.00,si,DOMANDA_VIVA
981048010,BOUQUET ORO PROFUMO 50ML,2,99,0,0.00,0,no,MORTO_vero
970540896,VITA ACT MULTIVITAM 50+ 30CPR,2,2,6,0.00,13.00,si,DOMANDA_VIVA
939236093,NEXCARE CER SOFT STRISC 100X80,2,99,10,0.00,0,no,MAGAZZINO_senza_domanda
970726550,GIBAUD JUNIOR TUTORE SPALLA 2,2,1,1,0.00,0,no,GIA_POSIZIONATO_top5
981410133,LFP CREMA RICCA OSMOT 50ML,2,3,3,0.00,0,no,GIA_POSIZIONATO_top5
948088935,SAUGELLA POLIGYN SALV 15PZ,2,1,3,2.00,2.00,si,DOMANDA_VIVA
901735062,CREDO TAGLIACALLI SICUREZZA,2,3,0,0.00,1.00,si,DOMANDA_VIVA
975896440,GIBAUD ORTHO DORSOLOMBOGIB 4,2,11,0,0.00,1.00,si,DOMANDA_VIVA
983466362,DONNA PIU' 60CPS,2,8,0,0.00,0,si,MORTO_vero
971998265,EKEEP K1 POSTURE KEEPER U 1,2,1,1,0.00,0,no,GIA_POSIZIONATO_top5
983361698,GIBAUD ORTHO MANUGIB QUER DX 1,2,10,3,0.00,0,no,MAGAZZINO_senza_domanda
970304628,PANCIA PIATTA ACT 30CPS,2,5,23,6.00,2.00,si,DOMANDA_VIVA
049990017,VAGISIL ANTIMICOTICO*CR 30G 2%,2,2,17,2.00,2.00,si,DOMANDA_VIVA
981979180,GIBAUD ORTHO MALLEOGIB 3D CAV2,2,6,1,0.00,0,no,MAGAZZINO_senza_domanda
989408810,LFP FISIODETERGENTE 300ML,2,5,19,0.00,1.00,si,DOMANDA_VIVA
987405685,GOOVI MATITA OCCHI LINER 01 NE,2,14,0,0.00,0,no,MORTO_vero
987336474,GIBAUD GINOCCH COT SOT BEI 4,2,5,0,0.00,0,no,GIA_POSIZIONATO_top5
949973503,DIABEC 60CPS MOLLI,2,11,0,0.00,28.00,si,DOMANDA_VIVA
931601102,IALUSET PLUS GARZA 10X10 10PZ,2,6,6,0.00,5.00,si,DOMANDA_VIVA
988148146,CLAREMASE ORALE 20FL,2,2,25,39.00,20.00,si,DOMANDA_VIVA
975082912,GIBAUD SPORT GINOCCHIERA 1,2,3,1,0.00,0,no,GIA_POSIZIONATO_top5
942007663,PRONTEX PHYSIO ISOTON 5ML 20F,2,9,0,0.00,0,si,MORTO_vero
950915114,DOLOMIA MU FONDOT SIERO 91,2,1,3,0.00,0,no,GIA_POSIZIONATO_top5
986921740,FLAVIS DELIZIA ALLE ERBE 130G,2,5,0,0.00,0,si,GIA_POSIZIONATO_top5
930398488,ESI NO DOL GEL TERMICO 280G,2,1,34,0.00,0,no,GIA_POSIZIONATO_top5
970371706,PROPAUSA GEL INTIMO 30ML,2,5,0,0.00,2.00,si,DOMANDA_VIVA
981273776,CLIADENT IDROPULSORE,2,1,1,0.00,0,si,GIA_POSIZIONATO_top5
985778455,DOLOMIA MU NAIL 15 LEVASMALTO,2,1,7,0.00,0,no,GIA_POSIZIONATO_top5
938467281,BROMELINA 100CPR,2,8,0,0.00,2.00,si,DOMANDA_VIVA
982752887,DUALSAN GAMB TERAP KKL1 RAL 4,2,2,1,0.00,0,no,GIA_POSIZIONATO_top5
951507779,POLASE PLUS CARNITINA PRO24BUS,2,7,10,13.00,5.00,si,DOMANDA_VIVA
931052500,XVENO 30CPR,2,12,0,0.00,4.00,si,DOMANDA_VIVA
944473774,LONGLIFE LATTOFERRINA200 30CPS,2,8,0,0.00,0,si,MORTO_vero
977657939,LFP CREMA RID RINNOV TRIC 50ML,2,7,5,0.00,0,si,MAGAZZINO_domanda90g
934863960,CERAMOL BALSAMO CAPELLI 200ML,2,9,13,1.00,5.00,si,DOMANDA_VIVA
908480787,GIBAUD GINOCCH SPORTIVA CAMEL2,2,4,2,0.00,0,no,GIA_POSIZIONATO_top5
950276713,GIBAUD ORTHO CORS LOMB ACT V 2,2,5,3,0.00,0,si,GIA_POSIZIONATO_top5
988339154,NANCARE KIDS MULTIVIT 60GUMM,2,1,5,0.00,0,si,GIA_POSIZIONATO_top5
943779001,ASTAR 3D 20CPS MOLLI,2,9,0,0.00,1.00,si,DOMANDA_VIVA
982514364,BIOREM GOCCE 30ML,2,4,0,0.00,4.00,si,DOMANDA_VIVA
942260326,EUPHIDRA AMIDO INTIMO GEL,2,16,0,0.00,1.00,si,DOMANDA_VIVA
974036713,PUFATECH 100PRL,2,9,0,0.00,8.00,si,DOMANDA_VIVA
