tenant,sku,nome,click7g,spesa7,spesa_gg,vend_ten_7g,rete7,rete30,pos,stock,marg_eur,categoria
Farmacia Procaccini,025519048,"MAG 2*OS GRAT 20BUST 2,25G",5,1.6,0.24,0,no,si,15,20,1.28,no-vend-7g
Farmacia Procaccini,935382477,5ALFAPROST 30PRL,5,1.6,0.24,0,si,si,3,0,2.28,vende-rete
Farmacia Procaccini,970370413,HYPERMIX SPRAY 30ML,5,1.6,0.24,0,no,si,3,0,4.40,no-vend-7g
Farmacia Procaccini,025519063,"MAG 2*OS SOLUZ 20BUST1,5G/10ML",5,1.6,0.24,0,si,si,23,16,0.69,vende-rete
Farmacia Procaccini,970430649,MARKEUTICALS INTEGRA 60CPR,5,1.6,0.24,0,si,si,1,0,3.13,vende-rete
Farmacia Procaccini,981448590,TRIDERM DS TRATTAMENTO NORMAL,5,1.6,0.24,0,no,si,8,5,2.60,no-vend-7g
Farmacia Procaccini,952126466,ASHWAGANDHA 30CPR,5,1.6,0.24,0,no,no,99,0,2.56,MORTO
Farmacia Procaccini,988277354,XERONORM PRX PHARCOS 250ML,5,1.6,0.24,0,no,si,2,0,4.12,no-vend-7g
Farmacia Procaccini,904020981,DELTACRIN CAPSULE PHARCOS60CPS,5,1.6,0.24,0,si,si,4,0,3.87,vende-rete
Farmacia Procaccini,941181911,UV OFTAL SOL OFT LUB FOTOP10ML,5,1.6,0.24,0,si,si,3,0,2.87,vende-rete
Farmacia Procaccini,951141516,MULTICENTRUM AGE MENTE 40CPS,5,1.6,0.24,0,no,si,2,1,2.80,no-vend-7g
Farmacia Procaccini,974897391,RESTIVOIL RINFORZANTE 250ML TP,5,1.6,0.24,0,no,no,3,10,1.57,MORTO
Farmacia Procaccini,986905343,DERMOVITAMINA PRURITO CR 150ML,5,1.6,0.24,0,no,si,4,2,2.46,no-vend-7g
Farmacia Procaccini,903596765,RIBES PET RECOVERY 60PRL,5,1.6,0.24,0,no,no,22,0,5.98,MORTO
Farmacia Procaccini,945140147,EUPH COLORPRO XD 507 CAST,5,1.6,0.24,0,no,si,4,2,1.08,no-vend-7g
Farmacia Procaccini,945293443,GENIROSE PLUS 60TAV,5,1.6,0.24,0,no,si,1,0,5.13,no-vend-7g
Farmacia Procaccini,902985389,SAUGELLA POLIGYN 50+ 500ML,5,1.6,0.24,0,si,si,8,3,5.06,vende-rete
Farmacia Procaccini,982406934,PUROFLOG SOLUZIONE OFT 20FL,4,1.3,0.19,0,si,si,2,0,3.02,vende-rete
Farmacia Procaccini,904180256,DAUMFIX ORTESI POLLICE DX S,4,1.3,0.19,0,no,no,1,0,5.23,MORTO
Farmacia Procaccini,911961098,EPATO 1500 PLUS 120CPR CANE,4,1.3,0.19,0,no,si,3,0,8.04,no-vend-7g
Farmacia Procaccini,983031939,SUN SECURE LAIT APRES SOLEIL,4,1.3,0.19,0,no,si,2,12,1.83,no-vend-7g
Farmacia Procaccini,980136232,DUREX NATURALS IDRATANTE 100ML,4,1.3,0.19,0,no,no,18,7,2.24,MORTO
Farmacia Procaccini,975433107,AFTER BITE GEL EXTRA 20ML,4,1.3,0.19,0,no,si,4,6,1.06,no-vend-7g
Farmacia Procaccini,910923667,IDEAL SOLEIL BALSAMO SCOTATTUR,4,1.3,0.19,0,no,no,1,1,1.89,MORTO
Farmacia Procaccini,931340804,PHYSIOMER CSR SPRAY IPER 135ML,4,1.3,0.19,0,si,si,3,7,2.51,vende-rete
Farmacia Procaccini,950246975,TRIDERM SAPONE MARSIGLIA OS 1L,4,1.3,0.19,0,no,si,4,14,2.18,no-vend-7g
Farmacia Procaccini,913758482,TOLERIANE DERMO NETTOYANT400ML,4,1.3,0.19,0,no,si,46,0,-1.67,no-vend-7g
Farmacia Procaccini,923427660,CARTILAGINE SQUALO POLV 60CPS,4,1.3,0.19,0,no,si,2,0,2.81,no-vend-7g
Farmacia Procaccini,951270115,UNGHIA SANA 10ML,4,1.3,0.19,0,no,no,6,0,2.33,MORTO
Farmacia Procaccini,989367154,VITAMINDERMINA POLVERE 100G,4,1.3,0.19,0,si,si,99,1,1.50,vende-rete
Farmacia Procaccini,900398355,REGULA MISC ERBE SVIZZ 80TAV,4,1.3,0.19,0,no,si,1,0,1.94,no-vend-7g
Farmacia Procaccini,988050581,"TAZARENE CREMA 0,1% 40ML",4,1.3,0.19,0,no,si,3,0,4.25,no-vend-7g
Farmacia Procaccini,950228751,AGEX DEFENCE SPOT PHARCOS 50ML,4,1.3,0.19,0,no,si,4,0,5.77,no-vend-7g
Farmacia Procaccini,931577276,AVENE SOL CR SOL SCHERMO 50+,4,1.3,0.19,0,no,si,10,1,2.89,no-vend-7g
Farmacia Procaccini,983197120,TDV TRATTAMENTO CORPO 400ML 22,4,1.3,0.19,0,si,si,11,3,7.53,vende-rete
Farmacia Procaccini,952099556,EUPHIDRA FONDOTINTA VELL NAT,4,1.3,0.19,0,no,no,99,3,2.94,MORTO
Farmacia Procaccini,983533718,SPIRIAL DEODORANTE CREMA 50ML,4,1.3,0.19,0,no,si,5,9,1.76,no-vend-7g
Farmacia Procaccini,943245555,EUPH FILLER CR ANTIR RIEMP,4,1.3,0.19,0,no,si,1,2,3.64,no-vend-7g
Farmacia Procaccini,900455332,BENPED DITA A MARTELLO DX M 1P,4,1.3,0.19,0,no,no,1,0,1.77,MORTO
Farmacia Procaccini,989366277,RILASTIL D-CLAR MASCHERA ILL,4,1.3,0.19,0,no,no,99,1,1.74,MORTO
Farmacia Procaccini,923289399,BEURER 25STR GL44/GL50/GL50EVO,4,1.3,0.19,0,no,no,1,0,3.13,MORTO
Farmacia Procaccini,951142393,PIC AQUABLOC FIX ROC CM10X2M,4,1.3,0.19,0,no,si,3,0,2.31,no-vend-7g
Farmacia Procaccini,942411669,NOVOMIT TRAVEL 12GOMME,4,1.3,0.19,0,no,no,1,3,1.91,MORTO
Farmacia Procaccini,909089031,ACQUA SIRMIONE MIN NAT 6F 15ML,4,1.3,0.19,0,si,si,20,37,2.01,vende-rete
Farmacia Procaccini,951383761,PRINCIPIUM MAGNESIO CB50+ 90CP,4,1.3,0.19,0,no,si,15,0,3.97,no-vend-7g
Farmacia Procaccini,943322685,CONNECTASYL 60CPR,4,1.3,0.19,0,si,si,7,0,3.16,vende-rete
Farmacia Procaccini,902299458,CLOREXYDERM SOL SCH 200ML,4,1.3,0.19,0,no,si,2,0,2.39,no-vend-7g
Farmacia Procaccini,974059596,LINES CLAS RETT S/BARRI 30PZ,4,1.3,0.19,0,no,no,6,0,1.28,MORTO
Farmacia Procaccini,981491487,SYSTANE IDRATAZIONE S/CONS10ML,4,1.3,0.19,0,si,si,1,1,2.66,vende-rete
Farmacia Procaccini,930997313,SEBAMED LIQUIDO 1000ML TP,4,1.3,0.19,0,no,si,14,6,1.40,no-vend-7g
Farmacia Procaccini,970778522,ANAPHASE+ SHAMPOO 200ML DUCRAY,4,1.3,0.19,0,si,si,3,5,1.67,vende-rete
Farmacia Procaccini,982471839,MULTICENTRUM DIFESE IMM 28BUST,4,1.3,0.19,0,no,si,1,3,2.38,no-vend-7g
Farmacia Procaccini,980370326,DERMOVITAMINA CICATRICI GEL,4,1.3,0.19,0,no,no,5,0,2.28,MORTO
Farmacia Procaccini,010386098,HIRUDOID 40000UI*CREMA 100G,4,1.3,0.19,0,si,si,10,2,2.33,vende-rete
Farmacia Procaccini,989874298,ALPECIN GREY ATTACK SHAMPOO,4,1.3,0.19,0,si,si,12,0,2.82,vende-rete
Farmacia Procaccini,983656556,REGGIBRACCIO SEMPLICE PED 1,4,1.3,0.19,0,no,si,1,0,3.51,no-vend-7g
Farmacia Procaccini,951090315,COSEQUIN ADVANCED CANE 120CPR,4,1.3,0.19,0,si,si,4,0,8.84,vende-rete
Farmacia Procaccini,984360343,CLOREXYDERM SOL 200ML,4,1.3,0.19,0,si,si,1,0,2.11,vende-rete
Farmacia Procaccini,983039936,AVENE SOL CREMA SPF50+ S/PROF,4,1.3,0.19,0,si,si,7,3,2.15,vende-rete
Farmacia Procaccini,942793338,CAROBIN PET DIGEST 30BUSTE,4,1.3,0.19,0,no,si,2,0,2.83,no-vend-7g
Farmacia Procaccini,944282324,SAUGELLA INTIMO&CORPO 500ML,4,1.3,0.19,0,si,si,3,4,1.39,vende-rete
Farmacia Procaccini,950915470,"FIDEK 40CPR 1,5G DRN",4,1.3,0.19,0,si,si,1,0,7.64,vende-rete
Farmacia Procaccini,952039547,ARTROVIS POLVERE SOLUBILE 360G,4,1.3,0.19,0,no,si,1,0,6.10,no-vend-7g
