sku,nome,click7,spesa7,qty7,fatturato7,margine7,inc_fatt_pct,inc_marg_pct,pareto,pos
911033278,MEPILEX MEDIC AS 10X10CM 5PZ,4,1.32,2.00,36.34,7.92,4,17,PARETO,2
974031407,UROIAL 14STICK PACK,4,1.32,1.00,15.82,3.37,8,39,PARETO,5
972295671,CONNETTIVINABIO PLUS CREMA 25G,3,0.99,2.00,15.92,2.36,6,42,PARETO,9
908620545,GIO' MUTANDINA CORRETTIVA 1,3,0.99,1.00,36.16,0.00,3,,PARETO,1
931203006,STERIMAR IPERTONICO NASO CHIU,3,0.99,7.00,75.53,12.88,1,8,PARETO,2
923744217,SPC-FLAKES 450G,3,0.99,3.00,70.80,13.20,1,7,PARETO,1
983173434,SERENITY PANTS SD BF EX S 14PZ,3,0.99,10.00,128.90,29.60,1,3,PARETO,2
952088033,PHYSIOMANCE MINCIBOOST G 500ML,3,0.99,2.00,47.41,7.28,2,14,"",1
951234184,COLINFAST 20FL 10ML,3,0.99,3.00,72.96,9.66,1,10,PARETO,4
951357829,CAROBIN PET FORTE MINI 15CPR,3,0.99,1.00,7.24,1.25,14,79,"",4
990650766,ORALADE ADVANCED RF+ 500ML,3,0.99,3.00,22.80,5.37,4,18,"",4
972256642,CALCIOK2 30STICK PACK,3,0.99,2.00,32.24,5.80,3,17,PARETO,20
936048139,EUPH COLORPRO XD700 BIONDO,3,0.99,5.00,31.85,9.10,3,11,"",15
986958369,BLEFATRI' SCHIUMA 50ML,3,0.99,1.00,20.99,4.20,5,24,PARETO,3
921811903,ENNE 3 PLUS 20CPS SOFTGEL,3,0.99,3.00,53.07,6.93,2,14,PARETO,2
976014480,FIBOR 500G,3,0.99,2.00,56.90,8.84,2,11,PARETO,1
950220956,FLAVIA ACT 30CPR,3,0.99,3.00,83.94,11.10,1,9,PARETO,8
902362336,RESPECTISSIME STRUCC OCCHI BIF,3,0.99,6.00,74.40,12.40,1,8,PARETO,9
922556182,FORTIMEL COMPACT PRO FRA 4BOTT,3,0.99,1.00,10.94,2.51,9,39,"",5
984361319,PPM COLLAGEN+ 30BUST,3,0.99,5.00,218.24,34.30,0,3,PARETO,2
986112771,ORALADE SUPPORTO AVANZATO GI+,3,0.99,3.00,22.53,5.16,4,19,PARETO,4
939370755,DELTACRIN FIALE PHARCOS 10F 10,2,0.66,2.00,53.82,7.54,1,9,PARETO,3
943322673,PROLEPTYC 60CPR,2,0.66,2.00,76.46,11.10,1,6,PARETO,1
950301390,CLOGIN REPAIR OVULI VAG 10OV,2,0.66,1.00,16.05,2.19,4,30,PARETO,2
950566505,EURECIT 20STICK PACK OROSOLUB,2,0.66,2.00,45.72,8.02,1,8,PARETO,3
942602665,MGK VIS ORANGE 30BUST,2,0.66,6.00,53.88,0.00,1,,PARETO,99
