minsan;nome;categoria;prezzo;domanda_rete_30g;best_mercato
908158862;BOROTALCO BUST 100G;Profumi / deodoranti;1.69;10.00;4.79
906624453;DERMATESS COTONE IDROFILO 100G;Cotone e tamponi;1.25;10.00;1.67
947281085;MULTIQUIET BALANCE 240ML;Calmanti;22.91;9.00;20.50
934030382;RUPISOLV OX 20BUST 4G;Apparato uro-genitale;18.35;9.00;20.56
938989249;RINOSTIL GOCCE NASALI 30ML;Naso;16.83;9.00;18.98
987881570;NIZORAL CARE SH CUTE&CAP GRAS;Topici;11.51;9.00;12.13
909971398;RINOPANTEINA UNGUENTO 10G;Naso;9.86;9.00;10.79
950059170;ONLIGOL BAMBINI 200G;Stipsi e transito intestinale;9.74;9.00;12.70
908726843;NEO MOM POLVERE 20G;Preparati,Shampoo;9.35;9.00;9.22
949962536;PREREID LIQUIDO 3PZ 250ML HUMA;Antidiarroici;8.46;9.00;8.99
908620646;SAUGELLA GEL INTIMO PH5,5 30ML;Detergenti;8.19;9.00;10.49
985910379;PREP CREMA DEODORANTE 35ML;Profumi / deodoranti;3.61;9.00;2.80
904695044;SEDO CALCIO INALANTE 10F 2ML;Naso;19.54;8.00;21.75
980774412;UNICO OLIO SECCO SPRAY 100ML;Protettivi per la pelle;18.61;8.00;18.90
973650308;TOLERIANE SENSITIVE CREMA VISO;Tonici / idratanti;16.57;8.00;17.80
933883530;PINEAL NOTTE FAST GOCCE 10ML;Calmanti;15.36;8.00;17.25
977699964;LINES SP MATERNITY M 12PZ;Indumenti e accessori pre-post parto;13.98;8.00;13.90
975388214;CLIATAKE DETERGENTE INTIMO SCH;Detergenti;13.93;8.00;14.90
983679578;CERAVE CREMA VISO IDRAT SPF50;Tonici / idratanti;13.83;8.00;14.62
932707565;ACCU-CHEK AVIVA 25STR;Presidi,Test;13.48;8.00;13.92
932171236;PISOLINO GOCCE 15ML;Calmanti;13.48;8.00;15.73
901466490;HERMESETAS GOLD 500+200CPR;Alimentari;9.86;8.00;10.93
912517923;DEODORANTE PELLE SENS ROLL-ON;Profumi / deodoranti;9.29;8.00;10.20
950057392;DIET SUCARYL 125ML;Edulcoranti;9.22;8.00;9.37
924268788;ELMEX SENSITIVE PROF COLLUT;Collutori;6.57;8.00;6.23
924451899;MELATONINA ACT +3COMPLEX120CPR;Calmanti;5.55;8.00;6.29
979779980;CONTROL SENSUAL DOTS&LINES 6PZ;Contraccettivi;5.18;8.00;6.69
974779629;TANTUM ROSA INTIMO FRESH 500ML;Detergenti;3.89;8.00;5.83
926522475;CER PIC SOFFIX MED 5X7 5PZ;Cerotti;2.19;8.00;2.20
986867303;SALVIETTINE TALC BB SOFARMAPIU;Detergenti;1.26;8.00;1.42
023834056;FLUIFORT*30BUST GRAT 2,7G;Tosse;24.67;7.00;23.56
945035285;REFALT 600 20STICK PACK;Antiacidi;18.96;7.00;18.99
977732573;TENSIOPRAM OROSOLUBILE 30CPR;Calmanti;17.15;7.00;19.99
935329223;ESPERSOL SPRAY NASALE 100ML;Naso;14.24;7.00;15.28
930116328;EOFOLIN 30CPR;Minerali;13.98;7.00;15.51
902078791;CICATRIDINA OV VAG 10PZ;Altri prodotti;13.76;7.00;15.11
970484818;SEROMILK PLUS 15CPR;Sistemici;13.62;7.00;15.35
907116154;CICATRIDINA 10SUPP;Altri prodotti;13.52;7.00;15.24
023603196;PEVARYL*SOL CUT 30ML 1% SPRAY;Dermatologici;13.15;7.00;15.35
016703035;GOLAMIXIN*SPRAY OROFAR 10ML;Gola;11.38;7.00;11.81
023907025;BETADINE*SOLUZ VAG 5FL+5F+5CAN;Apparato uro-genitale;9.94;7.00;12.29
944282324;SAUGELLA INTIMO&CORPO 500ML;Igiene;8.04;7.00;10.51
104971015;ANTHELMIN*2CPR 230+20MG GATTO;;6.99;7.00;7.75
909243305;CALCIO CARBONATO VITI 60CPR;Minerali,Apparato muscolo scheletrico;4.18;7.00;4.30
903953913;BLISTEX CLASSIC LIP PROT 2STK;Protettivi per labbra;3.89;7.00;4.22
951377504;SOLUZIONE IPERTONICA 3% 20FL;Naso,Infanzia;3.89;7.00;6.58
975576315;LABELLO CLASSIC CARE STICK;Protettivi per labbra;2.01;7.00;2.17
911147559;GARZA PIC 18X40CM 12PZ FUSTELL;Bende e garze;1.70;7.00;1.68
900937931;SIR MEDS 50ML S/AGO CONO CATET;Aghi e siringhe;1.13;7.00;1.18
942860279;FILME GYNO V12 12OV;Altri prodotti;23.29;6.00;24.39
986845889;RINOLYSYAL 15ML;Naso;19.23;6.00;19.66
934406113;SILIGLUT 200 20BUST;Apparato digerente;18.48;6.00;19.98
024552022;ARVENUM 500*30CPR RIV 500MG;Circolazione;14.87;6.00;16.78
023603184;PEVARYL*SOL CUT GINEC 60ML 1%;Dermatologici,Altri prodotti;14.03;6.00;15.89
044038038;MAALOX*OS SOSP 250ML 4%+3,5%;Antiacidi;13.89;6.00;11.24
938398512;CYSTOCURE FORTE 30G;Mangimi;13.64;6.00;13.65
044038026;MAALOX PLUS*30CPR MAST;Antiacidi;10.96;6.00;11.64
989814443;CERAVE REFILL DETERGENTE IDR;Igiene;10.95;6.00;11.40
