sku,nome,click7,spesa7,qty7,rev7,marg7,inc_fatt_pct,categoria,is_civetta,pos,stock
951216252,CUTIMED SORBACT CONT 4X6CM 5PZ,6,1.98,0,0.00,0.00,,0-vendite,t,1,0
973914017,ADIPROX ADVANCED 50CPS,6,1.98,0,0.00,0.00,,0-vendite,f,6,0
903596765,RIBES PET RECOVERY 60PRL,5,1.65,0,0.00,0.00,,0-vendite,f,22,0
941181911,UV OFTAL SOL OFT LUB FOTOP10ML,5,1.65,0,0.00,0.00,,0-vendite,t,1,0
025519048,"MAG 2*OS GRAT 20BUST 2,25G",5,1.65,0,0.00,0.00,,0-vendite,f,15,20
989656970,VIDERMINA INTIMA OLIO 500ML SP,5,1.65,0,0.00,0.00,,0-vendite,t,2,13
945293443,GENIROSE PLUS 60TAV,5,1.65,0,0.00,0.00,,0-vendite,t,1,0
943040485,PORUS ONE 30BUST,5,1.65,0,0.00,0.00,,0-vendite,t,1,0
951141516,MULTICENTRUM AGE MENTE 40CPS,5,1.65,0,0.00,0.00,,0-vendite,t,2,1
926876867,CICABEN 50G,5,1.65,0,0.00,0.00,,0-vendite,f,22,0
952126466,ASHWAGANDHA 30CPR,5,1.65,0,0.00,0.00,,0-vendite,t,1,0
986905343,DERMOVITAMINA PRURITO CR 150ML,5,1.65,0,0.00,0.00,,0-vendite,t,4,2
951035753,MAVOSTEN MAGNESIO 120CPS,5,1.65,0,0.00,0.00,,0-vendite,t,3,0
970430649,MARKEUTICALS INTEGRA 60CPR,5,1.65,0,0.00,0.00,,0-vendite,t,1,0
924885837,VITE ROSSA GAMBE 30CPR,5,1.65,1.00,7.44,1.47,22,inc-marg>100,t,2,0
981448590,TRIDERM DS TRATTAMENTO NORMAL,5,1.65,0,0.00,0.00,,0-vendite,t,5,5
904020981,DELTACRIN CAPSULE PHARCOS60CPS,5,1.65,0,0.00,0.00,,0-vendite,t,3,0
987437187,POLASE ARANCIA 36BUST PROMO,5,1.65,1.00,11.28,-0.03,15,inc-marg>100,f,23,20
988277354,XERONORM PRX PHARCOS 250ML,5,1.65,0,0.00,0.00,,0-vendite,t,1,0
985481047,FRANGIPANI PROFUMO 100ML,5,1.65,0,0.00,0.00,,0-vendite,t,9,1
947318426,PEROGNIDOL FORTE PERLE,5,1.65,0,0.00,0.00,,0-vendite,t,5,0
983674641,EXOMEGA CONTROL CR EMOL 400ML,5,1.65,0,0.00,0.00,,0-vendite,t,3,3
972790404,STOMODINE F 30ML,5,1.65,0,0.00,0.00,,0-vendite,t,2,0
921232435,PESCURA FLAT ORIG BYCAST SAB41,5,1.65,0,0.00,0.00,,0-vendite,t,1,0
982947311,NUXE SUN HUILE LACTEE CAPILLAI,5,1.65,1.00,10.92,1.31,15,inc-marg>100,t,5,12
902985389,SAUGELLA POLIGYN 50+ 500ML,5,1.65,0,0.00,0.00,,0-vendite,f,8,2
970370413,HYPERMIX SPRAY 30ML,5,1.65,0,0.00,0.00,,0-vendite,t,1,0
944779584,EUPH OLIO NUTR UN-CUTI10ML,5,1.65,0,0.00,0.00,,0-vendite,f,2,1
974897391,RESTIVOIL RINFORZANTE 250ML TP,5,1.65,0,0.00,0.00,,0-vendite,t,1,10
985592272,RILASTIL SUN SYS CAPSULE 1+1,5,1.65,1.00,15.34,0.00,11,inc-marg>100,f,6,0
926819184,SCREEN TEST INFEZ URINE 3PZ,5,1.65,0,0.00,0.00,,0-vendite,t,4,0
025519063,"MAG 2*OS SOLUZ 20BUST1,5G/10ML",5,1.65,0,0.00,0.00,,0-vendite,f,23,16
987715291,ARTENNUA 90CPS,5,1.65,0,0.00,0.00,,0-vendite,t,1,0
935382477,5ALFAPROST 30PRL,5,1.65,0,0.00,0.00,,0-vendite,t,2,0
945140147,EUPH COLORPRO XD 507 CAST,5,1.65,0,0.00,0.00,,0-vendite,t,4,2
900455332,BENPED DITA A MARTELLO DX M 1P,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
904180256,DAUMFIX ORTESI POLLICE DX S,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
952113975,BUTIRETARD NMX 20CPR,4,1.32,0,0.00,0.00,,0-vendite,t,2,3
989366277,RILASTIL D-CLAR MASCHERA ILL,4,1.32,0,0.00,0.00,,0-vendite,t,1,1
937030892,NOVA PROST 30CPS SOFTGEL,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
923427660,CARTILAGINE SQUALO POLV 60CPS,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
983031939,SUN SECURE LAIT APRES SOLEIL,4,1.32,0,0.00,0.00,,0-vendite,t,2,12
952039547,ARTROVIS POLVERE SOLUBILE 360G,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
944775547,PROSTAPET CANE GEL 60BUST,4,1.32,0,0.00,0.00,,0-vendite,t,5,0
974059596,LINES CLAS RETT S/BARRI 30PZ,4,1.32,0,0.00,0.00,,0-vendite,t,3,0
980812539,PASTA HOFFMANN SELLA NAT 1KG,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
980136232,DUREX NATURALS IDRATANTE 100ML,4,1.32,0,0.00,0.00,,0-vendite,f,18,7
913758482,TOLERIANE DERMO NETTOYANT400ML,4,1.32,0,0.00,0.00,,0-vendite,f,46,0
902299458,CLOREXYDERM SOL SCH 200ML,4,1.32,0,0.00,0.00,,0-vendite,t,2,0
951142393,PIC AQUABLOC FIX ROC CM10X2M,4,1.32,0,0.00,0.00,,0-vendite,t,3,0
951383761,PRINCIPIUM MAGNESIO CB50+ 90CP,4,1.32,0,0.00,0.00,,0-vendite,f,15,0
984360343,CLOREXYDERM SOL 200ML,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
930997313,SEBAMED LIQUIDO 1000ML TP,4,1.32,0,0.00,0.00,,0-vendite,f,14,6
950915470,"FIDEK 40CPR 1,5G DRN",4,1.32,0,0.00,0.00,,0-vendite,t,1,0
988050581,"TAZARENE CREMA 0,1% 40ML",4,1.32,0,0.00,0.00,,0-vendite,t,1,0
982406934,PUROFLOG SOLUZIONE OFT 20FL,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
951090315,COSEQUIN ADVANCED CANE 120CPR,4,1.32,0,0.00,0.00,,0-vendite,t,4,0
910923667,IDEAL SOLEIL BALSAMO SCOTATTUR,4,1.32,0,0.00,0.00,,0-vendite,t,1,1
943245555,EUPH FILLER CR ANTIR RIEMP,4,1.32,0,0.00,0.00,,0-vendite,t,1,2
975433107,AFTER BITE GEL EXTRA 20ML,4,1.32,0,0.00,0.00,,0-vendite,t,4,6
983656556,REGGIBRACCIO SEMPLICE PED 1,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
945140135,EUPH COLORPRO XD 407 CAST,4,1.32,1.00,6.21,0.99,21,inc-marg>100,t,3,4
990377400,FORTEND MAX 20BUST,4,1.32,0,0.00,0.00,,0-vendite,t,4,0
983533718,SPIRIAL DEODORANTE CREMA 50ML,4,1.32,0,0.00,0.00,,0-vendite,t,5,9
942793338,CAROBIN PET DIGEST 30BUSTE,4,1.32,0,0.00,0.00,,0-vendite,t,2,0
942411669,NOVOMIT TRAVEL 12GOMME,4,1.32,0,0.00,0.00,,0-vendite,t,1,3
983039936,AVENE SOL CREMA SPF50+ S/PROF,4,1.32,0,0.00,0.00,,0-vendite,f,7,3
980370326,DERMOVITAMINA CICATRICI GEL,4,1.32,0,0.00,0.00,,0-vendite,t,5,0
952099556,EUPHIDRA FONDOTINTA VELL NAT,4,1.32,0,0.00,0.00,,0-vendite,t,1,3
989874298,ALPECIN GREY ATTACK SHAMPOO,4,1.32,0,0.00,0.00,,0-vendite,f,12,0
923289399,BEURER 25STR GL44/GL50/GL50EVO,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
950246975,TRIDERM SAPONE MARSIGLIA OS 1L,4,1.32,0,0.00,0.00,,0-vendite,t,4,14
900398355,REGULA MISC ERBE SVIZZ 80TAV,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
931340804,PHYSIOMER CSR SPRAY IPER 135ML,4,1.32,0,0.00,0.00,,0-vendite,t,3,7
911961098,EPATO 1500 PLUS 120CPR CANE,4,1.32,0,0.00,0.00,,0-vendite,t,3,0
951270115,UNGHIA SANA 10ML,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
981491487,SYSTANE IDRATAZIONE S/CONS10ML,4,1.32,0,0.00,0.00,,0-vendite,t,1,1
