minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
927219941;PROLEI COMPLEX 30CPR GASTRORES;3;0;18.93;21.60;14.1;AMMUTOLITO;14;SI
927385219;CONVEEN OPTIMA GUAINA 28MM 30P;3;0;46.69;58.30;24.9;AMMUTOLITO;11;SI
930164708;CHERADERM 10 CREMA CORPO 450ML;3;0;15.47;18.75;21.2;AMMUTOLITO;2;SI
930192531;LUBRIGYN OVULI VAGINALI 10PZ;3;1;12.63;15.71;24.4;DIMEZZATO;;SI
930252782;IRILENS 0,4% GOCCE OCULARI10ML;3;0;4.59;5.68;23.7;AMMUTOLITO;;SI
930530605;DERMAFRESH P NORM CLASS DEOD;3;1;5.67;6.44;13.6;DIMEZZATO;9;SI
930530682;DERMAFRESH ODOR CONTROL CREMA;3;0;5.94;6.51;9.5;AMMUTOLITO;12;SI
930870276;CATIONORM MULTI GOCCE 10ML;3;0;12.20;14.55;19.3;AMMUTOLITO;14;SI
930873688;CONTOUR NEXT GLICEMIA 25STR;3;1;8.61;11.24;30.6;DIMEZZATO;;SI
930877131;TRUDI BABY C SALVIETTE M/L 72P;3;0;1.41;1.69;20.1;AMMUTOLITO;;SI
930880202;ALKAVITAL 250G;3;0;12.00;13.07;8.9;AMMUTOLITO;5;SI
931082705;CUMAXINA 30CPR;3;1;19.29;22.23;15.3;DIMEZZATO;11;SI
931636765;ECN 20CPS GASTROPROTETTE;3;1;19.21;20.81;8.3;DIMEZZATO;16;SI
931647236;RESTAX 30CPS+30CPS SOFTGEL;3;0;24.05;25.91;7.7;AMMUTOLITO;13;SI
931771289;TIOBEC 800 20CPR FAST-SLOW;3;0;24.41;26.99;10.6;AMMUTOLITO;;SI
931809952;AMEDIAL PLUS 20BUST;3;1;17.38;18.50;6.5;DIMEZZATO;18;SI
932205673;EXTRAFINE SANITY CONT URI 2,5L;3;0;1.92;2.44;26.9;AMMUTOLITO;;SI
932821883;TANTUM ROSA LENITIVA CREMA30ML;3;0;8.21;9.98;21.6;AMMUTOLITO;11;SI
933013397;ELGASIN 30CPR;3;0;12.58;13.99;11.2;AMMUTOLITO;;SI
933939579;ENTEROGERMINA VIAGGI 12BUST;3;1;10.33;11.35;9.8;DIMEZZATO;;SI
934158508;PRONOOS 30CPS;3;0;17.35;20.10;15.8;AMMUTOLITO;12;SI
934322280;MELIVEN 3 30CPR;3;0;15.97;18.35;14.9;AMMUTOLITO;10;SI
934545373;TRIADENOR 16CPR;3;1;18.64;21.22;13.8;DIMEZZATO;14;SI
934857893;LONGLIFE BROMELAIN FORTE 30CPR;3;1;17.07;19.26;12.9;DIMEZZATO;;SI
934902952;CERAMOL BASE LAVANTE SCH 400ML;3;1;11.33;14.11;24.5;DIMEZZATO;12;SI
935501383;VEA LUBRIVIT OLIO LUBRIFICANTE;3;1;11.48;14.30;24.5;DIMEZZATO;11;SI
935662611;SUPRADYN RICARICA 60CPR;3;0;18.34;20.50;11.8;AMMUTOLITO;;SI
936169679;ANADEPIS 30CPR;3;1;15.54;16.94;9.0;DIMEZZATO;3;SI
937494502;CONVEEN OPTIMA GUAINA 35MM 30P;3;0;45.46;58.40;28.5;AMMUTOLITO;7;SI
938872191;FORPROST 400 FLOGO 15CPS MOLLI;3;0;18.19;19.53;7.4;AMMUTOLITO;13;SI
938878218;THE NILO TAGLIO FILTRO 1KG;3;1;18.83;21.21;12.7;DIMEZZATO;7;SI
938971443;INOFOLIC PLUS 20BUST;3;0;20.72;22.63;9.2;AMMUTOLITO;3;SI
939062725;TAE X INVERSE VITILIGO SUNCARE;3;1;19.90;23.60;18.6;DIMEZZATO;1;SI
939135733;ACCU-CHEK FASTCLIX 24LANC;3;1;1.70;1.93;13.8;DIMEZZATO;;SI
939143703;LACTOFLORENE PLUS 18FL 180ML;3;1;10.81;11.58;7.1;DIMEZZATO;;SI
939562272;ISOMAX SOLUZIONE FISIOL NASALE;3;0;2.25;2.42;7.4;AMMUTOLITO;;SI
939851806;PROCLAR 20CPS;3;0;18.80;21.19;12.7;AMMUTOLITO;12;SI
940092430;FERTYBIOTIC GRAVIDANZA ADVANCE;3;1;21.44;23.55;9.9;DIMEZZATO;8;SI
940999838;AVENE SOL NEBULIZZAT SPR SPF30;3;1;12.12;15.96;31.6;DIMEZZATO;;SI
941657645;SIDERAL FOLICO 30MG 20BUST;3;1;20.36;22.39;10.0;DIMEZZATO;;SI
942002888;Isdin After Sun Lozione Spray Doposole 2;3;1;10.59;17.34;63.7;DIMEZZATO;7;SI
942007535;PLURILAC TRIO 12BUST;3;0;13.62;14.98;10.0;AMMUTOLITO;;SI
942862451;INOFOLIC COMBI HP 20CPS;3;0;18.59;19.95;7.3;AMMUTOLITO;14;SI
943729259;FLOGONAM 30CPR;3;1;17.31;18.89;9.1;DIMEZZATO;3;SI
943804082;ZETA ARTRO CUR 30CPR;3;0;18.93;19.75;4.3;AMMUTOLITO;13;SI
943908929;OZOGIN HYDRA OVULI VAG 8PZ;3;0;13.66;16.82;23.1;AMMUTOLITO;14;SI
944024126;ROSACURE ULTRA SPF50+ 30ML;3;1;18.40;21.38;16.2;DIMEZZATO;12;SI
944097637;OSTEOTEND COMPLEX 20BUST;3;0;18.44;20.18;9.4;AMMUTOLITO;2;SI
944178300;BIOKAP MIGLIO D FORTE 60CPR NE;3;0;16.80;19.02;13.2;AMMUTOLITO;9;SI
944181989;VITACALM PROPOSITIV 30CPR;3;1;12.60;13.74;9.0;DIMEZZATO;8;SI
944252802;LONGLIFE CALCIUM 750MG 60TAV;3;0;12.43;13.72;10.4;AMMUTOLITO;16;SI
944769049;VITACALM TUTTA NOTTE MEL 60CPR;3;1;17.78;20.16;13.4;DIMEZZATO;14;SI
944902410;FOTOPROTECTOR HYDROLOTION;3;0;16.54;26.34;59.3;AMMUTOLITO;;SI
944905278;VITACALM BUON RELAX GOCCE 50ML;3;1;10.29;12.19;18.5;DIMEZZATO;13;SI
945108785;DECLINEX 30CPR;3;0;35.55;38.25;7.6;AMMUTOLITO;10;SI
945143372;SUMOR FORTE 20CPR;3;0;22.69;26.40;16.4;AMMUTOLITO;10;SI
947073983;RILASTIL SUN SYS SPF30 200ML;3;1;11.39;15.83;38.9;DIMEZZATO;;SI
947074009;RILASTIL SUN SYS SPF15 200ML;3;0;10.51;16.44;56.4;AMMUTOLITO;;SI
947229959;NEUPATIR 30CPR;3;1;26.00;29.94;15.1;DIMEZZATO;11;SI
948133638;SYNOSTEA 20STICK PACK;3;0;15.74;17.83;13.3;AMMUTOLITO;14;SI
950222556;VITREONORM TASK 20STICK;3;0;13.02;14.19;9.0;AMMUTOLITO;3;SI
950405047;VITREOLISINA PLUS 30BUST;3;0;19.60;20.84;6.3;AMMUTOLITO;12;SI
951169388;CALOFAST 60CPR;3;1;31.84;37.27;17.0;DIMEZZATO;11;SI
951274238;CORTISOLIN 30CPS;3;0;17.33;18.89;9.0;AMMUTOLITO;5;SI
951486188;SCALP & HAIR SPRAY SPF50 50ML;3;0;14.33;19.50;36.1;AMMUTOLITO;11;SI
952088033;PHYSIOMANCE MINCIBOOST G 500ML;3;0;21.94;24.91;13.5;AMMUTOLITO;10;SI
952094478;DAFNEFLOR 30CPS ACIDORESIST;3;0;18.97;20.31;7.1;AMMUTOLITO;9;SI
952112961;INFIAVIN 42CPS;3;0;17.52;19.91;13.6;AMMUTOLITO;10;SI
003235049;COLLIRIO ALFA DEC*GTT FL 10ML;3;0;5.74;6.51;13.4;AMMUTOLITO;;SI
970985519;HAIRGEN SHAMPOO 300ML;3;0;19.52;25.75;31.9;AMMUTOLITO;11;SI
971038765;LUTISVIST 30CPR;3;1;17.93;19.48;8.6;DIMEZZATO;14;SI
971216700;NATUR-GYM 60CPS VEGETALI;3;0;24.88;29.60;19.0;AMMUTOLITO;12;SI
971377561;DUREX NATURAL GEL 100ML MSL;3;1;7.74;9.55;23.4;DIMEZZATO;;SI
971621964;CONNETTIVINABIO CREMA 25G;3;1;8.44;9.28;10.0;DIMEZZATO;;SI
972264408;YOVIS CAPS 10CPS;3;0;8.73;9.56;9.5;AMMUTOLITO;;SI
972264410;YOVIS STICK 10BUST;3;1;8.74;9.56;9.4;DIMEZZATO;;SI
972532840;OLEA D3 MAX GOCCE 20ML;3;0;12.96;14.67;13.2;AMMUTOLITO;7;SI
972725117;VITREOLISINA FORTE 30CPR;3;0;16.20;18.07;11.5;AMMUTOLITO;15;SI
973662036;CITILPEA 30BUST;3;1;24.34;25.09;3.1;DIMEZZATO;4;SI
974035800;ACNELL 50+ CANOVA CREMA GEL;3;0;17.35;21.65;24.8;AMMUTOLITO;13;SI
974994168;IALEN OLIO DETERGENTE 500ML;3;1;14.31;17.88;24.9;DIMEZZATO;13;SI
975582279;FDR SAPONE NON SAPONE 240ML;3;0;6.03;6.21;3.0;AMMUTOLITO;8;SI
975906544;PROBLAST 30BUST;3;1;20.34;23.19;14.0;DIMEZZATO;10;SI
975995782;CIANOFOLIN FAST 30CPR SUBLING;3;0;12.85;13.86;7.9;AMMUTOLITO;4;SI
976006433;MULTIVEN 30CPR;3;0;16.78;19.23;14.6;AMMUTOLITO;7;SI
976024935;RESTIVOIL SEBO NORM 400ML;3;0;11.83;14.20;20.0;AMMUTOLITO;;SI
976597070;ZZZQUIL SONNO 60PAST;3;0;15.63;17.20;10.1;AMMUTOLITO;;SI
977662030;AVENE CICALFATE+CR RISTRUT40ML;3;0;8.81;10.75;22.0;AMMUTOLITO;;SI
978476392;BARILIFE B12 5000MCG 5CPR SUBL;3;0;24.76;26.40;6.6;AMMUTOLITO;2;SI
978869030;RENOVA TRE COLLIRIO 10ML;3;1;15.01;17.86;19.0;DIMEZZATO;20;SI
979276565;TRIDERM AD CREMA SOL SPF50+;3;1;19.08;24.39;27.9;DIMEZZATO;11;SI
979332424;MYTHOXAN HD 30BUST;3;0;25.42;27.88;9.7;AMMUTOLITO;;SI
979811231;VIDERMINA MUCUS 30ML;3;1;11.15;13.57;21.7;DIMEZZATO;13;SI
980247845;LEMIX 20CPR+20CPR;3;0;21.19;23.89;12.8;AMMUTOLITO;11;SI
980292256;HYLOVISION HD PLUS COLLIRIO;3;1;11.13;13.30;19.5;DIMEZZATO;3;SI
980299729;CURASEPT COLL0,05 200MLADS+DNA;3;0;6.18;7.58;22.7;AMMUTOLITO;;SI
980406639;MAGNESIO SUPREMO NOTTE REL150G;3;0;15.01;16.41;9.4;AMMUTOLITO;;SI
980763751;CARNIDYN PLUS 18CRP MASTICABIL;3;1;13.21;14.53;10.0;DIMEZZATO;;SI
981350527;CENTELLASE GEL DEFATIC 150ML;3;0;7.36;11.96;62.5;AMMUTOLITO;;SI
981491499;SYSTANE ULTRA S/CONSERV 10ML;3;1;13.52;15.47;14.4;DIMEZZATO;13;SI
981647807;VITA ACT VIT D 2000UI 60CPR;3;0;4.52;5.07;12.3;AMMUTOLITO;13;SI
982596328;ZYMEREX GONFIORE PLUS 20CPR;3;0;8.39;9.21;9.8;AMMUTOLITO;;SI
982754297;COLESTEROL ACT PLUS FORTE60CPR;3;1;10.42;11.79;13.1;DIMEZZATO;;SI
983039912;AVENE SOL CLEANANCE SPF50+ COL;3;0;8.60;10.39;20.8;AMMUTOLITO;1;SI
983040092;RISO ROSSO FERMENTATO 60CPS;3;0;9.43;10.23;8.5;AMMUTOLITO;;SI
983521129;BEURER 25STR GL48/GL49;3;1;9.54;12.39;29.9;DIMEZZATO;11;SI
983672318;ZEFLAVON GAMBE PESANTI 100G;3;0;4.83;13.32;175.8;AMMUTOLITO;14;SI
983702301;SINTOS FORTE 15CPS;3;0;26.07;31.39;20.4;AMMUTOLITO;12;SI
983793023;ADENOPROST 30CPS SOFT GEL;3;0;17.29;19.52;12.9;AMMUTOLITO;12;SI
984597450;GALACTOL 30CPR;3;1;17.02;18.56;9.0;DIMEZZATO;11;SI
984701742;POSTBIOTIX COMFORT 20BUST;3;0;14.65;16.73;14.2;AMMUTOLITO;5;SI
984734602;AVENE ACQUA MICELLARE 400ML 23;3;0;9.85;12.01;22.0;AMMUTOLITO;;SI
984767537;CICAPLAST BAUME B5+ 40ML;3;0;8.16;11.33;38.8;AMMUTOLITO;;SI
984767552;CICAPLAST BAUME B5+ 100ML;3;0;15.08;17.82;18.1;AMMUTOLITO;;SI
985387632;PERLAPROST 15PRL SOFTGEL;3;1;17.20;19.21;11.7;DIMEZZATO;13;SI
985504467;EMTRIX SOLUZIONE 10ML;3;0;15.86;19.88;25.3;AMMUTOLITO;5;SI
985766082;MODULASE 20CPR;3;1;11.93;13.03;9.3;DIMEZZATO;5;SI
986117570;CARDIORITMON COLESTEROLO 30CPS;3;0;19.79;21.74;9.8;AMMUTOLITO;;SI
986130363;ENTEROLACTIS PLUS 30CPS;3;1;20.28;22.68;11.8;DIMEZZATO;;SI
986286906;ENTEROLACTIS BEVIBILE 12FL;3;0;8.46;9.31;10.0;AMMUTOLITO;;SI
986479133;AMINOTROFIC HDE 30BUST 6,5G;3;0;29.64;32.79;10.6;AMMUTOLITO;15;SI
987449802;RIPAGEL VET GOCCE OCULARI 10ML;3;1;14.81;18.49;24.8;DIMEZZATO;12;SI
987844723;ESI MULTICOMPLEX VITALITY24BUS;3;0;4.53;11.34;150.3;AMMUTOLITO;;SI
988031136;ENTEROLACTIS PLUS 30CPS;3;1;20.56;21.23;3.2;DIMEZZATO;16;SI
988066217;BIOSCALIN PRO DENSITY CERA MOD;3;0;8.39;10.00;19.1;AMMUTOLITO;;SI
988838037;SIDEVIT B12 20STICK;3;0;18.02;19.52;8.3;AMMUTOLITO;;SI
989028473;ACMED PRO 30STICK;3;1;21.32;23.50;10.2;DIMEZZATO;6;SI
989414596;SUSTENIUM PLUS TROPICALE20BUST;3;0;13.00;13.91;7.0;AMMUTOLITO;;SI
989639024;A+CURE NO ZZZ SPRAY REPELLENTE;3;0;2.23;2.82;26.6;AMMUTOLITO;;SI
(373 rows)
